epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,493.43,0.88609,1.30513,1.39314,0.76841,0.68647,0.70452,0.45732,1.37235,1.94769,1.96991,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,508.726,0.8555,1.19089,1.35652,0.76965,0.672,0.72247,0.46833,1.36688,1.92094,1.94723,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,524.312,0.87867,1.25234,1.39793,0.76337,0.64478,0.72138,0.45328,1.38454,1.86311,1.97602,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,539.812,0.83675,1.20167,1.3475,0.69935,0.66909,0.70586,0.42716,1.42789,1.94833,2.01121,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
34,555.376,0.90068,1.19744,1.39391,0.72395,0.66268,0.69903,0.41172,1.46519,1.97507,2.04087,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
35,570.761,0.87694,1.23408,1.35858,0.7813,0.68673,0.7302,0.46708,1.38111,1.84561,1.971,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
36,586.569,0.84316,1.17984,1.33869,0.79259,0.67269,0.74916,0.47925,1.39613,1.81916,1.97654,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
37,601.752,0.83735,1.1523,1.34135,0.85273,0.64613,0.75304,0.48461,1.38016,1.80833,1.96501,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
38,617.234,0.86088,1.16553,1.35393,0.76079,0.68272,0.75337,0.48755,1.36832,1.74682,1.96073,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638
39,632.654,0.82544,1.18141,1.34177,0.74528,0.73293,0.75802,0.48797,1.38744,1.75931,1.97317,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
