epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,20889.5,1.38425,1.05293,1.41126,0.83608,0.68781,0.78172,0.46197,1.39909,0.93493,1.42645,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,21485.6,1.36037,1.0272,1.38971,0.8247,0.70627,0.79262,0.46529,1.40877,0.89889,1.42269,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,22126.6,1.35353,1.03932,1.39328,0.81918,0.72282,0.79859,0.47421,1.3867,0.89023,1.40649,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,22719.9,1.35587,1.0164,1.38404,0.84245,0.69865,0.79338,0.46788,1.38668,0.89462,1.41806,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,23314,1.33066,0.99231,1.37179,0.83853,0.70786,0.80115,0.48074,1.3542,0.87616,1.37803,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,23877.7,1.31077,0.97694,1.35987,0.83764,0.70973,0.80273,0.48421,1.37026,0.86763,1.38892,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,24487.3,1.31714,0.96463,1.35487,0.84053,0.71357,0.80577,0.48792,1.36164,0.85238,1.37907,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,25030.7,1.30024,0.96012,1.34167,0.82892,0.72268,0.80783,0.49008,1.34998,0.85909,1.37254,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,25584.3,1.30684,0.949,1.34632,0.84191,0.70917,0.80828,0.49203,1.35768,0.84904,1.37955,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,26125.6,1.2846,0.9357,1.33726,0.85309,0.72111,0.81419,0.49613,1.34984,0.83858,1.3799,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,26813.4,1.26929,0.90539,1.33047,0.85314,0.72613,0.81093,0.50021,1.32563,0.82371,1.36522,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,27355,1.27442,0.90951,1.31868,0.86856,0.72487,0.82056,0.507,1.31597,0.81237,1.36279,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,27922.4,1.26014,0.89642,1.31262,0.85049,0.73021,0.82048,0.50595,1.30388,0.80727,1.36429,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
